decision_id,record_id,kanda,sarga,record_type,recommended_choice,confidence,risk_if_wrong
"DEC-stg-postv1-ayodhyakanda-s28-dialogue-001","stg-postv1-ayodhyakanda-s28-dialogue-001","Ayodhya Kanda","28","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-dialogue-001","stg-postv1-ayodhyakanda-s29-dialogue-001","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-dialogue-002","stg-postv1-ayodhyakanda-s29-dialogue-002","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-dialogue-003","stg-postv1-ayodhyakanda-s29-dialogue-003","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-dialogue-001","stg-postv1-ayodhyakanda-s30-dialogue-001","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-dialogue-002","stg-postv1-ayodhyakanda-s30-dialogue-002","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-dialogue-003","stg-postv1-ayodhyakanda-s30-dialogue-003","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-dialogue-004","stg-postv1-ayodhyakanda-s30-dialogue-004","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-dialogue-001","stg-postv1-ayodhyakanda-s31-dialogue-001","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-dialogue-002","stg-postv1-ayodhyakanda-s31-dialogue-002","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-dialogue-003","stg-postv1-ayodhyakanda-s31-dialogue-003","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-dharma-001","stg-postv1-ayodhyakanda-s21-dharma-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-dharma-001","stg-postv1-ayodhyakanda-s22-dharma-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-dharma-001","stg-postv1-ayodhyakanda-s23-dharma-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-dharma-001","stg-postv1-ayodhyakanda-s24-dharma-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-event-001","stg-postv1-ayodhyakanda-s21-event-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-event-002","stg-postv1-ayodhyakanda-s21-event-002","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-event-001","stg-postv1-ayodhyakanda-s22-event-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-event-002","stg-postv1-ayodhyakanda-s22-event-002","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-event-001","stg-postv1-ayodhyakanda-s23-event-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-event-002","stg-postv1-ayodhyakanda-s23-event-002","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-event-001","stg-postv1-ayodhyakanda-s24-event-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-event-002","stg-postv1-ayodhyakanda-s24-event-002","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-event-001","stg-postv1-ayodhyakanda-s25-event-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-event-002","stg-postv1-ayodhyakanda-s25-event-002","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-event-001","stg-postv1-ayodhyakanda-s26-event-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-event-002","stg-postv1-ayodhyakanda-s26-event-002","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-event-003","stg-postv1-ayodhyakanda-s26-event-003","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s27-event-001","stg-postv1-ayodhyakanda-s27-event-001","Ayodhya Kanda","27","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s28-event-001","stg-postv1-ayodhyakanda-s28-event-001","Ayodhya Kanda","28","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-event-001","stg-postv1-ayodhyakanda-s29-event-001","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-event-001","stg-postv1-ayodhyakanda-s30-event-001","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-event-002","stg-postv1-ayodhyakanda-s30-event-002","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-event-001","stg-postv1-ayodhyakanda-s31-event-001","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-event-002","stg-postv1-ayodhyakanda-s31-event-002","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-sarga-001","stg-postv1-ayodhyakanda-s21-sarga-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-sarga-001","stg-postv1-ayodhyakanda-s22-sarga-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-sarga-001","stg-postv1-ayodhyakanda-s23-sarga-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-sarga-001","stg-postv1-ayodhyakanda-s24-sarga-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-sarga-001","stg-postv1-ayodhyakanda-s25-sarga-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-sarga-001","stg-postv1-ayodhyakanda-s26-sarga-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s27-sarga-001","stg-postv1-ayodhyakanda-s27-sarga-001","Ayodhya Kanda","27","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s28-sarga-001","stg-postv1-ayodhyakanda-s28-sarga-001","Ayodhya Kanda","28","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-sarga-001","stg-postv1-ayodhyakanda-s29-sarga-001","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-sarga-001","stg-postv1-ayodhyakanda-s30-sarga-001","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-sarga-001","stg-postv1-ayodhyakanda-s31-sarga-001","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-relationship-001","stg-postv1-ayodhyakanda-s26-relationship-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s27-relationship-001","stg-postv1-ayodhyakanda-s27-relationship-001","Ayodhya Kanda","27","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s28-relationship-001","stg-postv1-ayodhyakanda-s28-relationship-001","Ayodhya Kanda","28","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s29-relationship-001","stg-postv1-ayodhyakanda-s29-relationship-001","Ayodhya Kanda","29","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-character-reference-001","stg-postv1-ayodhyakanda-s30-character-reference-001","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s30-relationship-001","stg-postv1-ayodhyakanda-s30-relationship-001","Ayodhya Kanda","30","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-relationship-001","stg-postv1-ayodhyakanda-s31-relationship-001","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s31-journey-001","stg-postv1-ayodhyakanda-s31-journey-001","Ayodhya Kanda","31","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-source-001","stg-postv1-ayodhyakanda-s21-source-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-verse-section-001","stg-postv1-ayodhyakanda-s21-verse-section-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-verse-section-002","stg-postv1-ayodhyakanda-s21-verse-section-002","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-source-001","stg-postv1-ayodhyakanda-s22-source-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-theme-001","stg-postv1-ayodhyakanda-s22-theme-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-verse-section-001","stg-postv1-ayodhyakanda-s22-verse-section-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-verse-section-002","stg-postv1-ayodhyakanda-s22-verse-section-002","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-source-001","stg-postv1-ayodhyakanda-s23-source-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-theme-001","stg-postv1-ayodhyakanda-s23-theme-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-verse-section-001","stg-postv1-ayodhyakanda-s23-verse-section-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-verse-section-002","stg-postv1-ayodhyakanda-s23-verse-section-002","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-verse-section-003","stg-postv1-ayodhyakanda-s23-verse-section-003","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-historical-norm-001","stg-postv1-ayodhyakanda-s24-historical-norm-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-source-001","stg-postv1-ayodhyakanda-s24-source-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-verse-section-001","stg-postv1-ayodhyakanda-s24-verse-section-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-verse-section-002","stg-postv1-ayodhyakanda-s24-verse-section-002","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-verse-section-003","stg-postv1-ayodhyakanda-s24-verse-section-003","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-verse-section-004","stg-postv1-ayodhyakanda-s24-verse-section-004","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-verse-section-005","stg-postv1-ayodhyakanda-s24-verse-section-005","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-devotional-context-001","stg-postv1-ayodhyakanda-s25-devotional-context-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-devotional-context-002","stg-postv1-ayodhyakanda-s25-devotional-context-002","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-source-001","stg-postv1-ayodhyakanda-s25-source-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-001","stg-postv1-ayodhyakanda-s25-verse-section-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-002","stg-postv1-ayodhyakanda-s25-verse-section-002","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-003","stg-postv1-ayodhyakanda-s25-verse-section-003","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-004","stg-postv1-ayodhyakanda-s25-verse-section-004","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-005","stg-postv1-ayodhyakanda-s25-verse-section-005","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-verse-section-006","stg-postv1-ayodhyakanda-s25-verse-section-006","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-historical-norm-001","stg-postv1-ayodhyakanda-s26-historical-norm-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-source-001","stg-postv1-ayodhyakanda-s26-source-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-verse-section-001","stg-postv1-ayodhyakanda-s26-verse-section-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-verse-section-002","stg-postv1-ayodhyakanda-s26-verse-section-002","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
